date,afp,iraq_gov,iraq_body_count
Nov-2013,692,948,""
Oct-2013,743,964,""
Sep-2013,880,885,""
Aug-2013,693,356,""
Jul-2013,875,921,""
Jun-2013,452,240,""
May-2013,614,630,887
Apr-2013,461,205,544
Mar-2013,271,163,395
Feb-2013,220,136,358
Jan-2013,246,177,357
Dec-2012,144,208,275
Nov-2012,160,166,240
Oct-2012,136,144,290
Sep-2012,253,365,396
Aug-2012,278,164,422
Jul-2012,278,325,469
Jun-2012,282,131,529
May-2012,"",132,304
Apr-2012,"",126,392
Mar-2012,"",112,377
Feb-2012,"",150,356
Jan-2012,"",151,524
Dec-2011,"",155,388
Nov-2011,"",187,279
Oct-2011,"",258,366
Sep-2011,"",185,397
Aug-2011,"",239,401
Jul-2011,"",259,308
Jun-2011,"",271,386
May-2011,"",177,381
Apr-2011,"",211,289
Mar-2011,"",247,311
Feb-2011,"",197,252
Jan-2011,"",259,389
Dec-2010,"",151,217
Nov-2010,"",171,307
Oct-2010,"",185,312
Sep-2010,"",273,254
Aug-2010,"",426,516
Jul-2010,"",535,443
Jun-2010,"",284,385
May-2010,"",337,387
Apr-2010,"",328,385
Mar-2010,"",367,336
Feb-2010,"",352,304
Jan-2010,"",196,263
Dec-2009,"",367,475
Nov-2009,"",122,226
Oct-2009,"",410,435
Sep-2009,"",203,332
Aug-2009,"",456,618
Jul-2009,"",275,407
Jun-2009,"",437,498
May-2009,"",155,387
Apr-2009,"",355,565
Mar-2009,"",252,426
Feb-2009,"",258,402
Jan-2009,"",191,366
Dec-2008,"",316,576
Nov-2008,"",340,521
Oct-2008,"",317,575
Sep-2008,"",440,584
Aug-2008,"",431,627
Jul-2008,"",465,623
Jun-2008,"",509,747
May-2008,"",563,886
Apr-2008,"",1073,1272
Mar-2008,"",1082,1623
Feb-2008,"",721,1049
Jan-2008,"",541,844
Dec-2007,"",568,982
Nov-2007,"",606,1095
Oct-2007,"",887,1286
Sep-2007,"",917,1360
Aug-2007,"",1856,2457
Jul-2007,"",1875,2671
Jun-2007,"",1463,2180
May-2007,"",2124,2809
Apr-2007,"",1689,2495
Mar-2007,"",2078,2682
Feb-2007,"",1806,2607
Jan-2007,"",2087,2948
Dec-2006,"",0,2886
Nov-2006,"",1975,3064
Oct-2006,"",1427,2977
Sep-2006,"",0,2556
Aug-2006,"",0,2835
Jul-2006,"",1850,3279
Jun-2006,"",1009,2553
May-2006,"",1055,2251
Apr-2006,"",0,1792
Mar-2006,"",0,1940
Feb-2006,"",0,1569
Jan-2006,"",0,1543
Dec-2005,"","",1135
Nov-2005,"","",1465
Oct-2005,"","",1298
Sep-2005,"","",1415
Aug-2005,"","",2266
Jul-2005,"","",1528
Jun-2005,"","",1299
May-2005,"","",1336
Apr-2005,"","",1119
Mar-2005,"","",871
Feb-2005,"","",1266
Jan-2005,"","",1188
Dec-2004,"","",1106
Nov-2004,"","",1653
Oct-2004,"","",1011
Sep-2004,"","",1031
Aug-2004,"","",868
Jul-2004,"","",818
Jun-2004,"","",900
May-2004,"","",656
Apr-2004,"","",1304
Mar-2004,"","",1001
Feb-2004,"","",660
Jan-2004,"","",609
